Area,Tote Colour,Loop,Suffix,Number,Asset Code
Module Loop Blue,Blue,Module,C0703,RDC107,C0703RDC107
Module Loop Blue,Blue,Module,C0703,RDC110,C0703RDC110
Module Loop Blue,Blue,Module,C0703,STA105,C0703STA105
Module Loop Blue,Blue,Module,C0704,ACH123,C0704ACH123
Module Loop Blue,Blue,Module,C0704,ACH125,C0704ACH125
Module Loop Blue,Blue,Module,C0704,ACH133,C0704ACH133
Module Loop Blue,Blue,Module,C0704,ACH143,C0704ACH143
Module Loop Blue,Blue,Module,C0704,ACL127,C0704ACL127
Module Loop Blue,Blue,Module,C0704,ACL128,C0704ACL128
Module Loop Blue,Blue,Module,C0704,ACL135,C0704ACL135
Module Loop Blue,Blue,Module,C0704,ACL145,C0704ACL145
Module Loop Blue,Blue,Module,C0704,BCL204,C0704BCL204
Module Loop Blue,Blue,Module,C0704,RDC131,C0704RD0131
Module Loop Blue,Blue,Module,C0704,RDC129,C0704RDC129
Module Loop Blue,Blue,Module,C0704,RDC136,C0704RDC136
Module Loop Blue,Blue,Module,C0704,RDC138,C0704RDC138
Module Loop Blue,Blue,Module,C0704,RDC140,C0704RDC140
Module Loop Blue,Blue,Module,C0704,RDC142,C0704RDC142
Module Loop Blue,Blue,Module,C0704,RDC146,C0704RDC146
Module Loop Blue,Blue,Module,C0704,RDC148,C0704RDC148
Module Loop Blue,Blue,Module,C0704,RDC150,C0704RDC150
Module Loop Blue,Blue,Module,C0704,RDC202,C0704RDC202
Module Loop Blue,Blue,Module,C0704,RDC205,C0704RDC205
Module Loop Blue,Blue,Module,C0704,RDC209,C0704RDC209
Module Loop Blue,Blue,Module,C0704,RDC211,C0704RDC211
Module Loop Blue,Blue,Module,C0704,RDC212,C0704RDC212
Module Loop Blue,Blue,Module,C0704,RDC214,C0704RDC214
Module Loop Blue,Blue,Module,C0704,STA124,C0704STA124
Module Loop Blue,Blue,Module,C0704,STA126,C0704STA126
Module Loop Blue,Blue,Module,C0704,STA130,C0704STA130
Module Loop Blue,Blue,Module,C0704,STA132,C0704STA132
